"Rk","Tm","Player","College","MP_T","VORP","Year"
27,"PHO","Sergio Rodriguez","International",5281,-1.6,2006
28,"DAL","Maurice Ager","Michigan State University",505,-1.1,2006
29,"NYK","Mardy Collins","Temple University",2771,-2,2006
30,"POR","Joel Freeland","International",1821,-0.2,2006
31,"POR","James White","University of Cincinnati",583,-0.2,2006
32,"HOU","Steve Novak","Marquette University",5657,1.6,2006
33,"ATL","Solomon Jones","University of South Florida",3092,-0.7,2006
34,"LAC","Paul Davis","Michigan State University",702,-0.5,2006
35,"TOR","P.J. Tucker","University of Texas at Austin",11642,8.7,2006
36,"MIN","Craig Smith","Boston College",6826,0.9,2006
37,"MIN","Bobby Jones","University of Washington",867,-0.3,2006
38,"GSW","Kosta Perovic","International",38,0,2006
39,"MIL","David Noel","University of North Carolina",792,-0.3,2006
40,"SEA","Denham Brown","University of Connecticut",NA,NA,2006
41,"ORL","James Augustine","University of Illinois at Urbana-Champaign",156,0,2006
42,"CLE","Daniel Gibson","University of Texas at Austin",9316,2.3,2006
43,"NOK","Marcus Vinicius","International",172,-0.1,2006
44,"ORL","Lior Eliyahu","International",NA,NA,2006
45,"IND","Alexander Johnson","Florida State University",1302,-0.7,2006
46,"UTA","Dee Brown","University of Illinois at Urbana-Champaign",711,-0.4,2006
47,"UTA","Paul Millsap","Louisiana Tech University",24683,33.5,2006
48,"WAS","Vladimir Veremeenko","International",NA,NA,2006
49,"DEN","Leon Powe","University of California",3320,-0.2,2006
50,"CHA","Ryan Hollins","University of California, Los Angeles",6134,-1,2006
51,"LAL","Cheikh Samb","International",114,-0.2,2006
52,"LAC","Guillermo Diaz","University of Miami",18,0,2006
53,"SEA","Yotam Halperin","International",NA,NA,2006
54,"NJN","Hassan Adams","University of Arizona",547,-0.3,2006
55,"CLE","Ejike Ugboaja","International",NA,NA,2006
56,"TOR","Edin Bavcic","International",NA,NA,2006
57,"MIN","Loukas Mavrokefalidis","International",NA,NA,2006
58,"DAL","J.R. Pinnock","George Washington University",NA,NA,2006
59,"SAS","Damir Markota","International",170,-0.3,2006
60,"DET","Will Blalock","Iowa State University",166,-0.2,2006
1,"POR","Greg Oden","Ohio State University",2028,1.6,2007
2,"SEA","Kevin Durant","University of Texas at Austin",26278,47,2007
3,"ATL","Al Horford","University of Florida",21535,27.2,2007
4,"MEM","Mike Conley","Ohio State University",22985,22.5,2007
5,"BOS","Jeff Green","Georgetown University",21894,3.9,2007
6,"MIL","Yi Jianlian","International",6038,-4.1,2007
7,"MIN","Corey Brewer","University of Florida",17038,4.1,2007
8,"CHA","Brandan Wright","University of North Carolina",6568,6.1,2007
9,"CHI","Joakim Noah","University of Florida",17863,27.8,2007
10,"SAC","Spencer Hawes","University of Washington",15541,5,2007
11,"ATL","Acie Law","Texas A&M University",2385,-2,2007
12,"PHI","Thaddeus Young","Georgia Institute of Technology",22594,13.7,2007
13,"NOK","Julian Wright","University of Kansas",3049,0.5,2007
14,"LAC","Al Thornton","Florida State University",8274,-3.1,2007
15,"DET","Rodney Stuckey","Eastern Washington University",17890,2.7,2007
16,"WAS","Nick Young","University of Southern California",14989,-5.2,2007
17,"NJN","Sean Williams","Boston College",1978,0,2007
18,"GSW","Marco Belinelli","International",14903,1.3,2007
19,"LAL","Javaris Crittenton","Georgia Institute of Technology",1853,-1.1,2007
20,"MIA","Jason Smith","Colorado State University",9554,-1.2,2007
21,"PHI","Daequan Cook","Ohio State University",5993,-2.4,2007
22,"CHA","Jared Dudley","Boston College",17766,14.8,2007
23,"NYK","Wilson Chandler","DePaul University",16030,5.2,2007
24,"PHO","Rudy Fernandez","International",5965,5.7,2007
25,"UTA","Morris Almond","Rice University",361,-0.4,2007
26,"HOU","Aaron Brooks","University of Oregon",13250,0.9,2007
27,"DET","Arron Afflalo","University of California, Los Angeles",20147,5.2,2007
28,"SAS","Tiago Splitter","International",6812,6.7,2007
29,"PHO","Alando Tucker","University of Wisconsin",426,-0.5,2007
30,"PHI","Petteri Koponen","International",NA,NA,2007
31,"SEA","Carl Landry","Purdue University",11524,2.6,2007
32,"BOS","Gabe Pruitt","University of Southern California",461,-0.1,2007
33,"SAS","Marcus Williams","University of Arizona",39,-0.1,2007
34,"DAL","Nick Fazekas","University of Nevada, Reno",269,0.1,2007
35,"SEA","Glen Davis","Louisiana State University",10865,-0.8,2007
36,"GSW","Jermareo Davidson","University of Alabama",433,-0.6,2007
37,"POR","Josh McRoberts","Duke University",8265,6.2,2007
38,"PHI","Kyrylo Fesenko","International",1107,-0.6,2007
39,"MIA","Stanko Barac","International",NA,NA,2007
40,"LAL","Sun Yue","International",28,-0.1,2007
41,"MIN","Chris Richard","University of Florida",780,-0.3,2007
42,"POR","Derrick Byars","Vanderbilt University",37,0,2007
43,"NOK","Adam Haluska","University of Iowa",NA,NA,2007
44,"ORL","Reyshawn Terry","University of North Carolina",NA,NA,2007
45,"LAC","Jared Jordan","Marist College",NA,NA,2007
46,"GSW","Stephane Lasme","University of Massachusetts Amherst",303,-0.1,2007
47,"WAS","Dominic McGuire","California State University, Fresno",5348,0.6,2007
48,"LAL","Marc Gasol","International",21721,31.2,2007
49,"CHI","Aaron Gray","University of Pittsburgh",3851,0.2,2007
50,"DAL","Renaldas Seibutis","International",NA,NA,2007
51,"CHI","JamesOn Curry","Oklahoma State University",0,0,2007
52,"POR","Taurean Green","University of Florida",74,-0.1,2007
53,"POR","Demetris Nichols","Syracuse University",58,-0.2,2007
54,"HOU","Brad Newley","International",NA,NA,2007
55,"UTA","Herbert Hill","Providence College",NA,NA,2007
56,"MIL","Ramon Sessions","University of Nevada, Reno",15727,0.8,2007
57,"DET","Sammy Mejia","DePaul University",NA,NA,2007
58,"SAS","Giorgos Printezis","International",NA,NA,2007
59,"PHO","D.J. Strawberry","University of Maryland",270,-0.2,2007
60,"DAL","Milovan Rakovic","International",NA,NA,2007
1,"CHI","Derrick Rose","University of Memphis",16292,10.6,2008
2,"MIA","Michael Beasley","Kansas State University",11973,-4.4,2008
3,"MIN","O.J. Mayo","University of Southern California",16919,5.1,2008
4,"SEA","Russell Westbrook","University of California, Los Angeles",22786,48.5,2008
5,"MEM","Kevin Love","University of California, Los Angeles",18774,23.5,2008
6,"NYK","Danilo Gallinari","International",14322,11.1,2008
7,"LAC","Eric Gordon","Indiana University",16471,5.7,2008
8,"MIL","Joe Alexander","West Virginia University",745,-0.2,2008
9,"CHA","D.J. Augustin","University of Texas at Austin",15390,1.2,2008
10,"NJN","Brook Lopez","Stanford University",18118,13.2,2008
11,"IND","Jerryd Bayless","University of Arizona",10904,0.7,2008
12,"SAC","Jason Thompson","Rider University",14819,1.3,2008
13,"POR","Brandon Rush","University of Kansas",10564,0.7,2008
14,"GSW","Anthony Randolph","Louisiana State University",3841,-0.1,2008
15,"PHO","Robin Lopez","Stanford University",14353,8.9,2008
16,"PHI","Marreese Speights","University of Florida",9965,-2.1,2008
17,"TOR","Roy Hibbert","Georgetown University",16389,9.1,2008
18,"WAS","JaVale McGee","University of Nevada, Reno",8716,2.9,2008
19,"CLE","J.J. Hickson","North Carolina State University",11925,-0.9,2008
20,"CHA","Alexis Ajinca","International",3905,-0.5,2008
21,"NJN","Ryan Anderson","University of California",14708,10.4,2008
22,"ORL","Courtney Lee","Western Kentucky University",18855,8.7,2008
23,"UTA","Kosta Koufos","Ohio State University",9378,2.4,2008
24,"SEA","Serge Ibaka","International",17521,12.1,2008
25,"HOU","Nicolas Batum","International",19893,23.4,2008
26,"SAS","George Hill","Indiana University-Purdue University Indianapolis",17357,18,2008
27,"NOH","Darrell Arthur","University of Kansas",8804,0.4,2008
28,"MEM","Donte Greene","Syracuse University",4259,-2,2008
29,"DET","D.J. White","Indiana University",2111,-0.7,2008
30,"BOS","J.R. Giddens","University of New Mexico",247,-0.2,2008
31,"MIN","Nikola Pekovic","International",6744,2,2008
32,"SEA","Walter Sharpe","University of Alabama at Birmingham",20,-0.1,2008
33,"POR","Joey Dorsey","University of Memphis",1488,0.3,2008
34,"MIN","Mario Chalmers","University of Kansas",15824,10.1,2008
35,"LAC","DeAndre Jordan","Texas A&M University",18621,19.6,2008
36,"POR","Omer Asik","International",9034,1.3,2008
37,"MIL","Luc Mbah a Moute","University of California, Los Angeles",14388,4.1,2008
38,"CHA","Kyle Weaver","Washington State University",1379,0.3,2008
39,"CHI","Sonny Weems","University of Arkansas",3335,-1.9,2008
40,"NJN","Chris Douglas-Roberts","University of Memphis",4381,-1,2008
41,"IND","Nathan Jawai","International",431,-0.2,2008
42,"SAC","Sean Singletary","University of Virginia",303,-0.2,2008
43,"SAC","Patrick Ewing","Georgetown University",19,0,2008
44,"UTA","Ante Tomic","International",NA,NA,2008
45,"SAS","Goran Dragic","International",17867,15.3,2008
46,"SEA","Trent Plaisted","Brigham Young University Hawaii",NA,NA,2008
47,"WAS","Bill Walker","Kansas State University",3016,0.5,2008
48,"PHO","Malik Hairston","University of Oregon",472,0,2008
49,"GSW","Richard Hendrix","University of Alabama",NA,NA,2008
50,"SEA","DeVon Hardin","University of California",NA,NA,2008
51,"DAL","Shan Foster","Vanderbilt University",NA,NA,2008
52,"MIA","Darnell Jackson","University of Kansas",1039,-0.7,2008
53,"UTA","Tadija Dragicevic","International",NA,NA,2008
54,"HOU","Maarty Leunen","University of Oregon",NA,NA,2008
55,"POR","Mike Taylor","Iowa State University",771,-0.7,2008
56,"SEA","Sasha Kaun","University of Kansas",95,0,2008
57,"SAS","James Gist","University of Maryland",NA,NA,2008
58,"LAL","Joe Crawford","University of Kentucky",23,0,2008
59,"DET","Deron Washington","Virginia Polytechnic Institute and State University",NA,NA,2008
60,"BOS","Semih Erden","International",928,0,2008
