"Rk","Tm","Player","College","MP_T","VORP","Year"
27,"ORL","Brooks Thompson","Oklahoma State University",1714,0.1,1994
28,"DAL","Deon Thomas","University of Illinois at Urbana-Champaign",NA,NA,1994
29,"PHO","Antonio Lang","Duke University",1395,-0.3,1994
30,"MIN","Howard Eisley","Boston College",16013,-1,1994
31,"ORL","Rodney Dent","University of Kentucky",NA,NA,1994
32,"WSB","Jim McIlvaine","Marquette University",5927,2.8,1994
33,"PHI","Derrick Alston","Duquesne University",2657,-0.1,1994
34,"ATL","Gaylon Nickerson","Northwestern Oklahoma State University",42,-0.1,1994
35,"SAC","Michael Smith","Providence College",10552,8.7,1994
36,"BOS","Andrei Fetisov","International",NA,NA,1994
37,"SEA","Dontonio Wingfield","University of Cincinnati",1146,0.2,1994
38,"CHH","Darrin Hancock","University of Kansas",1395,-0.5,1994
39,"GSW","Anthony Miller","Michigan State University",1637,-0.2,1994
40,"MIA","Jeff Webster","University of Oklahoma",58,-0.1,1994
41,"IND","William Njoku","International",NA,NA,1994
42,"CLE","Gary Collier","University of Tulsa",NA,NA,1994
43,"POR","Shawnelle Scott","St. John's University",634,-0.2,1994
44,"IND","Damon Bailey","Indiana University",NA,NA,1994
45,"GSW","Dwayne Morton","University of Louisville",395,-0.3,1994
46,"MIL","Voshon Lenard","University of Minnesota",15349,6.7,1994
47,"UTA","Jamie Watson","University of South Carolina",1248,0.3,1994
48,"DET","Jevon Crudup","University of Missouri",NA,NA,1994
49,"CHI","Kris Bruton","Benedict College",NA,NA,1994
50,"PHO","Charles Claxton","University of Georgia",7,0,1994
51,"SAC","Lawrence Funderburke","Ohio State University",4726,-0.2,1994
52,"PHO","Anthony Goldwire","University of Houston",4951,-1.6,1994
53,"HOU","Albert Burditt","University of Texas at Austin",NA,NA,1994
54,"SEA","Zeljko Rebraca","International",3280,-0.4,1994
1,"GSW","Joe Smith","University of Maryland",27022,5.9,1995
2,"LAC","Antonio McDyess","University of Alabama",28053,16.4,1995
